CUMDANCauchy,GMVNPSO,HL_PS_VNSO,VNSDEEPSO,PSO_GBP,Firefly,UPSO,Guide_DE,chaotic_deepso,evdeepso,EPSO,DESS,ABC_DE,HFEABC,CE_CMAES,AJSO,GASAPSO
-0.176021556,-5.272562475,-2.309799836,1.931772257,-0.068825896,-0.370570315,0,-0.715901826,0.246190749,0.027359244,-4.582443698,-1.891368926,-2.020192858,-53.57882332,-0.444345066,0.127783301,-0.731213287
-0.260756485,-4.451855456,-2.482282395,1.928934636,-0.277960803,-0.392816691,0,-0.658262622,0.213190243,0.016977769,-4.668980358,-0.859604406,-1.070524907,-34.46454482,-0.438943645,0.134378224,-0.720475601
-0.371070449,-4.507334083,-2.184189811,1.912381266,-0.174545293,-0.348006814,0,-0.602701238,0.807600177,0.087075892,-4.775399812,-2.014266057,-1.041318444,-62.42290464,-0.46229298,0.128604572,-0.74295464
-0.608703668,-4.373935865,-2.513037568,1.91229119,-0.273856113,-0.335858372,0,-0.666411531,0.270822331,0.008846915,-4.206655117,-1.055919602,-1.023591748,-52.19644691,-0.035021705,0.128698818,-0.959732666
-0.28948412,-4.278370921,-2.421680954,1.928390159,-0.272077497,-0.372613155,0,-0.745186371,1.182888239,0.009904658,-4.110419351,-1.215942649,-0.065826594,-53.52428241,-0.662016398,0.326471944,-0.938621669
-0.178547893,-4.209388405,-2.551191458,1.932595323,-0.282353909,-0.409761507,0,-1.028912724,0.723391389,0.012498728,-4.802688725,-1.1016043,-1.102230607,-51.71191708,-0.637474925,0.318539354,-0.922494287
-0.398915601,-4.800633094,-2.073749097,1.926461694,-0.167935315,-0.295457899,0,-0.805272088,0.191012429,0.093151097,-4.884358016,-1.320230888,-0.023634273,-51.7137871,-0.245005673,0.128571559,-1.141265654
-0.221171608,-4.089025451,-2.473257646,1.93068558,-0.170124258,-0.381177227,0,-0.978049531,1.228366056,0.061416454,-3.78006286,-1.863053549,-0.990196634,-34.68260509,-0.440733022,0.13026274,-0.740666058
-0.261796283,-3.72485308,-2.615835457,1.911056131,-0.276271494,-0.444879761,0,-0.616457936,0.649057509,0.098353975,-5.390622426,-1.484629307,-1.083720729,-52.47143788,-0.243341209,0.129752469,-0.514534799
-0.331912487,-4.779849819,-1.444377104,1.925231314,-0.269794898,-0.346833918,0,-0.924480415,0.260362361,0.026623668,-5.771656358,-0.824255092,-0.051494113,-62.90427259,-0.247817239,0.122347401,-1.148349028
-0.117848412,-4.846137164,-1.846580895,1.894835989,-0.286424549,-0.348409699,0,-0.714022536,0.258062582,0.093934924,-4.905207912,-1.704067513,-0.058652866,-49.6978036,-0.23094018,0.124778272,-0.75992326
-0.317197835,-4.99326779,-2.227832362,1.908185714,-0.173492296,-0.336566073,0,-1.008510981,0.715051256,0.017839373,-6.109067265,-1.485983574,-0.031233368,-50.46992391,0.149100448,0.138600852,-0.714485355
-0.483445847,-4.927845352,-2.123289337,1.930659602,-0.267937446,-0.330675653,0,-0.7335946,0.197057613,0.018591247,-4.923256311,-1.467334897,-0.01979443,-51.65121768,-0.233314321,0.139037302,-0.732464525
-0.18919594,-4.294308397,-2.59155454,1.887184495,-0.276906775,-0.354737664,0,-0.70957193,0.801777656,0.496999285,-4.265220595,-1.462739754,-0.023090505,-53.60441976,-0.437657996,0.127633056,-0.727824185
-0.069522334,-4.784427671,-2.059388135,1.931138363,-0.165995976,-0.374239726,0,-0.659717159,0.685255437,0.063183991,-4.535244983,-1.261830766,-1.027811494,-60.14823096,-0.851960792,0.304979824,-0.758591988
-0.281743617,-4.727140035,-2.254040179,1.913192487,-0.173198325,-0.285817162,0,-1.00375087,0.655869986,0.030918219,-3.722159839,-1.585335538,-1.058626264,-42.60447409,-0.848396067,0.128125637,-0.720856167
-0.300508147,-4.731351495,-1.899730351,1.927253087,-0.274403393,-0.36921483,0,-0.843328759,0.228161156,2.209112079,-4.701646868,-1.582618902,-1.076333853,-51.57006898,-0.458222386,0.116929456,-0.736771934
-0.322299167,-3.820123024,-2.60245018,1.927974932,-0.271229697,-0.374896562,0,-0.730197456,0.294838902,0.47720149,-4.829084394,-2.213684171,-0.019140621,-51.64905941,-0.051833616,0.136015436,-0.943341662
-0.418225806,-5.007529989,-2.057676135,1.909941412,-0.274733032,-0.40245984,0,-0.694015699,0.708358334,0.062891306,-4.28696105,-1.431158071,-0.019358197,-51.93167139,-0.242199542,0.121972264,-0.53293284
-0.341571473,-4.443695465,-2.651723075,1.914210011,-0.268276779,-0.388560246,0,-0.836251387,0.681139029,0.010419675,-4.043149083,-0.958146364,-1.050592831,-35.69291095,-0.238085679,0.322477733,-0.514323466
