RDG3_DEEPSO,CE_CMAES,HFEABC,DE_TLBO,PSO_GBP,GASAPSO,AJSO,CUMDANCauchy,EHL_PS_VNSO,Ensembled_method_of_CBBO_Cauchy_and_DEEPSO,DEEDA
141.5870434,158.9836907,130.827568,139.3545436,160.2389169,168.2230723,332.0459579,93.87899554,187.2259502,100.941845,92.9728621
101.0297942,153.8379827,151.7413227,174.3296655,163.3428566,157.3271025,327.4907623,85.07272091,157.3492364,86.09839456,91.34606359
99.46163017,156.5017939,122.2696822,160.0384958,160.3804139,138.3315469,278.3043032,95.94737995,164.1768069,113.4852752,101.7333109
103.1691728,156.1328903,130.3610331,153.497383,164.2305353,177.134115,299.9191526,86.72165633,160.9834696,96.34704167,99.25524381
134.74307,155.5170871,157.3326571,159.6234575,162.6955576,164.3791755,337.353163,96.19490481,160.9774601,81.93673686,103.3262809
99.91779463,174.1663615,167.050374,179.2944987,161.8470227,148.051288,323.97192,87.46327586,165.4786517,106.5963042,100.6901601
98.82570842,195.6667844,119.8876551,146.0491561,164.7669186,130.4368294,292.9150415,103.2606837,185.2714876,97.74836065,94.6592914
132.5029306,177.0314197,112.9113579,140.8683129,164.8660728,155.4717405,282.9574654,92.45803354,161.4286796,93.53582344,87.1415508
90.81217087,164.3922157,108.8478505,131.9650354,166.4084173,183.4018072,357.4812967,100.9683273,163.2644701,91.62587383,90.95050773
99.09511525,168.4613436,128.208338,151.8245032,161.9289678,155.3191258,287.0667431,86.4945078,165.7336181,93.0641526,87.10806813
100.7559541,168.8643598,113.5681011,170.5546951,162.1888066,164.4802111,301.886726,90.33207602,163.9683379,86.33783829,85.87152053
126.8615046,189.5039646,110.5327682,135.7051866,171.0821811,145.5870725,306.0564461,83.66968957,165.1032785,110.2053381,89.47952947
93.13769937,154.8980427,107.1985032,163.6044093,161.2160457,166.5718592,300.8523434,100.9347906,160.2405692,90.55271663,82.05081541
90.75926099,158.3604461,129.0755478,180.9951566,160.9458351,126.3540162,342.9181324,81.60214679,167.5319344,102.4477442,87.68090937
100.7484163,171.9815777,124.4169076,142.3515675,161.4726508,169.3663047,353.2727354,85.79672678,160.9904591,93.33095669,87.05203793
102.858276,162.931369,97.09937094,152.5938015,160.287241,174.0182989,287.3718637,90.29838439,159.8767229,77.78448769,90.92583225
93.26670254,162.40839,96.47177716,159.3663872,163.2905595,149.3340312,318.2918773,90.28290629,161.0179091,97.10279138,93.32218493
102.5127449,171.0755537,125.9900735,144.0505626,155.1864605,166.0019725,291.474738,91.07790811,168.1061835,99.33198303,94.65956838
97.62511151,201.6187649,151.9627144,162.3393372,161.0400338,165.2209676,335.5229897,80.9128669,164.2592662,85.78182718,93.69325022
107.0403789,175.7432659,107.1715367,157.4672427,160.9524346,157.7725407,287.6135534,89.74606152,160.1828341,87.28551961,92.29531798
