RDG3_DEEPSO,CE_CMAES,HFEABC,DE_TLBO,PSO_GBP,GASAPSO,AJSO,CUMDANCauchy,EHL_PS_VNSO,Ensembled_method_of_CBBO_Cauchy_and_DEEPSO,VNS_DEEPSO,DEEDA
2.131679435,2.113571885,2.149707805,2.203161951,4.396239032,2.181196595,2.2980323,2.149724271,2.149554293,2.128909378,2.103437885,2.153830747
2.125333929,2.10971084,2.149706299,2.32972592,4.51812161,2.232253501,2.326537845,2.150294342,2.149554293,2.167585848,2.103424775,2.171960017
2.137559043,2.105091708,2.149723117,2.383393664,4.282024443,2.37660123,2.201917871,2.150705082,2.149554293,2.119740394,2.103424176,2.169352224
2.119272639,2.103586744,2.149718094,2.325542676,4.432994951,2.272806366,2.314958574,2.149554293,2.149554293,2.214313457,2.103437079,2.160058152
2.125337361,2.106275838,2.149724361,2.264371906,4.276382081,2.328408996,2.341093812,2.151888649,2.149554293,2.118703776,2.103416323,2.15101084
2.12556446,2.110358484,2.15279208,2.206322739,4.332198019,2.295445814,2.351927524,2.149571224,2.144000608,2.108506294,2.103423059,2.159935242
2.107862135,2.110658971,2.149724042,2.149120338,4.279372804,2.158833587,2.266582941,2.149721246,2.149554293,2.151342944,2.103420105,2.156097876
2.119566115,2.110895384,2.150037208,2.137891554,4.578637654,2.297678249,2.239224896,2.149554293,2.149554293,2.212803819,2.103465575,2.149554293
2.131310128,2.105618862,2.150681071,2.453727659,4.379455192,2.30562757,2.23940708,2.152078127,2.149554293,2.113664054,2.103433427,2.165400198
2.12560233,2.117015586,2.149712233,2.482415972,4.39717448,2.249293692,2.301335101,2.149650986,2.149554293,2.119576957,2.103434666,2.15879014
2.177653185,2.098807806,2.150696566,2.171509231,4.377535867,2.313830935,2.308856274,2.149988312,2.149554293,2.1870472,2.1034379,2.159266089
2.137476356,2.103822409,2.149723168,2.18220632,4.348284581,2.234467699,2.243060173,2.150613309,2.149554293,2.115104366,2.103449259,2.15384048
2.125611048,2.108201757,2.15055992,2.277668852,4.362192263,2.250072152,2.318735582,2.153506135,2.149554293,2.167249106,2.10341848,2.165825045
2.198495849,2.111475632,2.14972433,2.28179602,4.542528053,2.224793701,2.270968609,2.149554293,2.149554293,2.137870751,2.103426539,2.158742666
2.184083597,2.103653374,2.149688031,2.212843978,4.473058796,2.30713199,2.255031994,2.149654901,2.149554293,2.163264906,2.103439823,2.164708678
2.119211922,2.123124401,2.149716377,2.113424594,4.348847918,2.326222673,2.207073671,2.149554293,2.149554293,2.117026328,2.10343736,2.155588747
2.131557243,2.119144252,2.149724361,2.119455677,4.139786119,2.206734699,2.26002603,2.149662234,2.149554293,2.11350289,2.103446647,2.149697782
2.119471579,2.105092195,2.149724248,2.115722886,4.575805885,2.284225094,2.346699976,2.149628105,2.149554293,2.192910762,2.103423127,2.157580746
2.137312235,2.101391291,2.149676602,2.176896588,4.238451797,2.336874601,2.327372678,2.150422286,2.149554293,2.12541391,2.104378122,2.171985616
2.125275485,2.108007437,2.15069076,2.127297708,4.211661607,2.284483009,2.272273323,2.149724361,2.149554293,2.185739854,2.103419668,2.161210106
