RDG3_DEEPSO,CE_CMAES,HFEABC,DE_TLBO,PSO_GBP,GASAPSO,AJSO,CUMDANCauchy,EHL_PS_VNSO,Ensembled_method_of_CBBO_Cauchy and DEEPSO,VNS_DEEPSO,DEEDA
651.4059947,961.9397255,718.7240174,530.88361,1367.79727,85.6964399,170.4514625,1104.627503,5.819411374,817.7676338,832.2371313,944.7835952
650.8263457,929.8302308,695.1645839,571.7990319,1366.243408,87.7764366,176.8070944,1149.684868,5.40736473,865.489057,823.1681495,1020.774194
658.5420139,923.3843276,675.8350503,548.5778366,1386.98387,83.3014968,190.5397662,1043.963338,5.766979478,822.4606982,826.3236348,991.8945299
705.7288245,923.0039319,677.2299797,534.6820695,1294.013728,75.150589,186.1144792,1011.342639,5.400590355,807.3063797,824.9474122,976.0816234
693.8811096,918.0049474,675.7671194,529.499657,1323.748612,71.66687,187.2022819,1091.686667,5.615226576,853.8945829,822.3386032,991.0552124
678.1535173,939.8790118,675.2516658,543.3998493,1368.850266,85.3303988,191.1078439,1055.870328,5.454956409,856.6083056,823.4193407,992.1730683
671.3410665,921.0754827,676.5561276,535.9697696,1344.864729,96.2458001,189.4671993,848.668589,5.64469831,833.9851492,823.3742506,984.9223735
664.6719903,918.4977808,679.4365503,558.1332589,1341.111649,82.2863375,193.5297658,807.8940576,7.133446354,841.5471622,826.159985,981.2492073
669.7894377,918.8795046,696.7891488,538.6175732,1339.578399,65.3133573,174.4667026,863.6169108,7.00515278,851.0261928,822.2464588,992.0989728
648.3176244,918.9156801,681.3376909,530.4173876,1368.880554,68.0455376,133.7975353,896.2690999,7.212214401,856.1775331,822.1033389,1002.360777
676.407911,924.9991284,678.3112518,525.5288821,1366.158173,66.9630098,134.9208,874.5331444,6.165733021,841.7173733,819.6315755,988.3916029
682.0461984,917.8168097,678.6861069,548.674061,1358.18404,65.0727442,27936.67633,844.6709081,7.810825378,836.8618831,825.304994,989.0851813
697.7829926,917.7843658,677.0437266,538.746775,1297.784893,66.1327014,112.760319,901.4039327,7.175568025,831.485648,822.7219363,997.8439027
687.268771,920.5817567,677.4192632,530.1474523,1294.520712,63.7188881,160.2791023,824.4904364,7.471842585,837.3696678,823.6569506,1002.241053
670.0029639,920.2556251,677.6497509,549.8880529,1325.704748,67.1800321,119.4004458,835.7464732,7.840531612,833.2137056,824.2629723,989.2294892
634.3080493,920.3216046,677.4160012,542.4205219,1299.036596,64.0806051,113.5658178,838.4765756,5.823378902,835.4089706,826.8841491,997.691098
633.1928252,915.9777061,684.414364,553.1097592,1307.69544,65.6103643,115.8214289,845.2768761,5.728526457,830.208175,827.2033498,980.514623
627.161574,925.9431257,677.2052678,572.9183079,1260.407167,64.6695562,167.8384992,849.4676559,4.937911308,844.8313378,823.2453007,984.863335
674.1637928,919.4386324,683.4240494,568.677541,1295.010345,63.9903989,144.3593469,851.1812263,4.829779757,829.2802466,826.9828312,993.8842578
681.6747001,918.9556977,677.8393031,572.442158,1278.608624,63.8298739,140.136233,845.5342828,5.76364765,918.8012656,823.8013369,1022.902324
